City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,280.05,91,100,17.82,TF,1715317837
1,college,64.8569,-147.8028,281.12,74,75,3.13,US,1715317713
2,ribeira grande,38.5167,-28.7,290.8,91,23,3.58,PT,1715317719
3,iskateley,67.6803,53.1512,271.49,95,100,11.62,RU,1715317839
4,grytviken,-54.2811,-36.5092,273.57,89,100,1.23,GS,1715317839
5,isafjordur,66.0755,-23.124,274.63,83,96,1.19,IS,1715317770
6,kupang,-10.1667,123.5833,307.47,55,20,11.32,ID,1715317840
7,kodiak,57.79,-152.4072,276.88,70,20,3.6,US,1715317840
8,vanimo,-2.6741,141.3028,299.66,93,100,3.13,PG,1715317840
9,puerto natales,-51.7236,-72.4875,271.21,95,50,1.11,CL,1715317841
10,invercargill,-46.4,168.35,282.05,78,100,1.79,NZ,1715317763
11,iqaluit,63.7506,-68.5145,267.07,93,100,0.73,CA,1715317841
12,lupiro,-8.3833,36.6667,295.44,92,71,0.58,TZ,1715317842
13,keflavik,64.0049,-22.5624,279.39,75,100,3.09,IS,1715317842
14,bethel,41.3712,-73.414,285.48,82,100,5.14,US,1715317842
15,portland,45.5234,-122.6762,292.47,61,0,0.45,US,1715317459
16,albany,42.6001,-73.9662,285.62,71,100,0.45,US,1715317843
17,selfoss,63.9331,-20.9971,279.84,56,100,3.85,IS,1715317843
18,machico,32.7,-16.7667,293.5,80,40,6.69,PT,1715317843
19,xining,36.6167,101.7667,281.45,84,100,2.23,CN,1715317844
20,hilo,19.7297,-155.09,297.19,94,100,3.09,US,1715317844
21,adamstown,-25.066,-130.1015,295.65,80,87,4.25,PN,1715317716
22,yellowknife,62.456,-114.3525,281.71,71,52,4.02,CA,1715317719
23,caraballeda,10.6112,-66.8522,299.19,94,75,0.0,VE,1715317845
24,maceio,-9.6658,-35.7353,297.84,88,0,1.54,BR,1715317845
25,nagqu,31.5,92.0,279.45,22,100,5.31,CN,1715317845
26,punta arenas,-53.15,-70.9167,272.21,93,40,3.09,CL,1715317846
27,stanley,54.868,-1.6985,284.16,90,0,2.06,GB,1715317846
28,gebre guracha,9.8,38.4,287.41,79,96,1.29,ET,1715317846
29,kamloops,50.6665,-120.3192,290.79,44,10,0.89,CA,1715317754
30,whitehorse,60.7161,-135.0538,280.82,66,75,4.63,CA,1715317575
